2026-05-23 21:13:42 | INFO     | SEDAI        | [SEDAI] Chargement du modèle GGUF en mémoire (peut prendre jusqu'à 5 min)...
2026-05-23 21:14:23 | INFO     | SEDAI        | [SEDAI] Modèle chargé avec succès.
2026-05-23 21:14:23 | INFO     | SEDAI        | [SEDAI] Pré-chauffage du cache IA (Prefix Caching)...
2026-05-23 21:16:06 | INFO     | SEDAI        | [SEDAI] Cache initialisé. Système prêt pour une réactivité maximale.
2026-05-23 21:16:06 | INFO     | SEDAI        | [SEDAI: 2/4] Création du pipeline transactionnel...
2026-05-23 21:16:06 | INFO     | SEDAI        | [SEDAI: 3/4] Instanciation et couplage modulaire...
2026-05-23 21:16:06 | INFO     | MEMORY       | [MEMORY] Historique chargé : 2 échanges trouvés.
2026-05-23 21:16:06 | INFO     | TTS          | [TTS] Restauration du volume matériel sur la carte 0...
2026-05-23 21:16:06 | INFO     | VOICE        | [VOICE] Chargement du modèle ASR depuis /home/sedai/SEDAI/src/models/vosk/vosk-model-fr-0.6-linto-2.2.0...
2026-05-23 21:16:37 | INFO     | VOICE        | [VOICE] Modèle Vosk chargé avec succès.
2026-05-23 21:16:37 | INFO     | WS           | [WS] Carte audio USB détectée à l'index 0.
2026-05-23 21:16:37 | INFO     | SEDAI        | [SEDAI: 4/4] Top-départ de l'orchestrateur (Daemonisation)...
2026-05-23 21:16:37 | INFO     | TTS          | [TTS] Démarrage du thread de synthèse vocale.
2026-05-23 21:16:37 | INFO     | VOICE        | [VOICE] Démarrage du thread de reconnaissance vocale (Vosk Asynchrone).
2026-05-23 21:16:37 | INFO     | OBD          | [OBD] Démarrage du thread d'acquisition (time-slicing v2.1).
2026-05-23 21:16:37 | INFO     | MONITOR      | [MONITOR] Démarrage du thread de surveillance.
2026-05-23 21:16:37 | INFO     | DIAGNOSTIC   | [DIAGNOSTIC] Démarrage du thread de diagnostic IA.
2026-05-23 21:16:37 | INFO     | WS           | [WS] Serveur prêt sur 0.0.0.0:8765
2026-05-23 21:16:37 | INFO     | SEDAI        | [SEDAI] Système Opérationnel. Lancement autonome achevé à 100%.
